"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=d4c7) [Reassembled in #45]"
"2","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=d4c7) [Reassembled in #45]"
"3","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=d4c7) [Reassembled in #45]"
"4","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=d4c7) [Reassembled in #45]"
"5","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=d4c7) [Reassembled in #45]"
"6","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=d4c7) [Reassembled in #45]"
"7","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=d4c7) [Reassembled in #45]"
"8","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=d4c7) [Reassembled in #45]"
"9","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=d4c7) [Reassembled in #45]"
"10","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=d4c7) [Reassembled in #45]"
"11","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=d4c7) [Reassembled in #45]"
"12","0.000000","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=d4c7) [Reassembled in #45]"
"13","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=d4c7) [Reassembled in #45]"
"14","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=d4c7) [Reassembled in #45]"
"15","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=d4c7) [Reassembled in #45]"
"16","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=d4c7) [Reassembled in #45]"
"17","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=d4c7) [Reassembled in #45]"
"18","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=d4c7) [Reassembled in #45]"
"19","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=d4c7) [Reassembled in #45]"
"20","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=d4c7) [Reassembled in #45]"
"21","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=d4c7) [Reassembled in #45]"
"22","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=d4c7) [Reassembled in #45]"
"23","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=d4c7) [Reassembled in #45]"
"24","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=d4c7) [Reassembled in #45]"
"25","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=d4c7) [Reassembled in #45]"
"26","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=d4c7) [Reassembled in #45]"
"27","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=d4c7) [Reassembled in #45]"
"28","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=d4c7) [Reassembled in #45]"
"29","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=d4c7) [Reassembled in #45]"
"30","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=d4c7) [Reassembled in #45]"
"31","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=d4c7) [Reassembled in #45]"
"32","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=d4c7) [Reassembled in #45]"
"33","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=d4c7) [Reassembled in #45]"
"34","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=d4c7) [Reassembled in #45]"
"35","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=d4c7) [Reassembled in #45]"
"36","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=d4c7) [Reassembled in #45]"
"37","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=d4c7) [Reassembled in #45]"
"38","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=d4c7) [Reassembled in #45]"
"39","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=d4c7) [Reassembled in #45]"
"40","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=d4c7) [Reassembled in #45]"
"41","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=d4c7) [Reassembled in #45]"
"42","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=d4c7) [Reassembled in #45]"
"43","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=d4c7) [Reassembled in #45]"
"44","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=d4c7) [Reassembled in #45]"
"45","0.000377","192.168.1.104","192.168.1.240","ICMP","422","Echo (ping) request  id=0x0001, seq=9/2304, ttl=128 (reply in 90)"
"46","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=e2c6) [Reassembled in #90]"
"47","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=e2c6) [Reassembled in #90]"
"48","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=e2c6) [Reassembled in #90]"
"49","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=e2c6) [Reassembled in #90]"
"50","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=e2c6) [Reassembled in #90]"
